kind,objective,mode,n,wavelengths_nm,coverage,power
max_area,gamut,ideal,3,380 518 700,0.736084,214.959124
max_area,gamut,ideal,4,380 501 525 700,0.868155,160.689194
max_area,gamut,ideal,5,380 492 512 536 700,0.926057,78.641461
max_area,gamut,ideal,6,380 486 504 518 543 700,0.956040,65.000726
max_area,gamut,ideal,7,380 483 498 510 522 546 700,0.969618,58.338563
max_area,gamut,ideal,8,380 478 493 504 514 525 548 700,0.977564,50.338243
max_area,gamut,ideal,9,380 475 490 501 510 519 532 553 700,0.983062,42.064391
max_area,gamut,ideal,10,380 473 487 497 505 513 521 535 555 700,0.987133,37.764606
max_area,gamut,ideal,11,380 471 485 494 502 509 516 524 538 557 700,0.989721,33.363948
max_area,gamut,ideal,12,380 471 485 494 501 507 513 519 527 540 559 700,0.991513,30.346780
white_0.42,white,ideal,3,447 513 568,0.423824,1.627027
white_0.55,white,ideal,3,448 525 605,0.615743,2.003268
white_0.68,white,ideal,3,447 522 613,0.662769,2.157905
white_0.80,white,ideal,3,446 520 620,0.688854,2.328491
white_0.88,white,ideal,3,445 519 626,0.702591,2.516425
white_0.95,white,ideal,3,443 519 639,0.719895,3.087217
white_0.42,white,ideal,4,447 513 568 699,0.798833,1.627027
white_0.55,white,ideal,4,447 513 568 699,0.798833,1.627027
white_0.68,white,ideal,4,447 513 568 699,0.798833,1.627027
white_0.80,white,ideal,4,447 513 568 699,0.798833,1.627027
white_0.88,white,ideal,4,440 503 529 627,0.828615,2.320918
white_0.95,white,ideal,4,435 502 526 640,0.849443,2.965738
white_0.42,white,ideal,5,447 497 519 568 699,0.895336,1.626872
white_0.55,white,ideal,5,447 499 520 568 699,0.895749,1.626851
white_0.68,white,ideal,5,446 499 520 568 699,0.896239,1.628278
white_0.80,white,ideal,5,444 499 520 568 699,0.897134,1.632544
white_0.88,white,ideal,5,442 498 520 568 699,0.897952,1.639272
white_0.95,white,ideal,5,437 498 520 568 699,0.899766,1.676201
white_0.42,white,ideal,6,447 492 510 526 568 699,0.932423,1.626755
white_0.55,white,ideal,6,447 485 499 520 568 699,0.922044,1.626851
white_0.68,white,ideal,6,444 487 504 522 568 699,0.933553,1.632132
white_0.80,white,ideal,6,442 487 504 522 568 699,0.934826,1.638648
white_0.88,white,ideal,6,440 487 504 522 568 699,0.935971,1.649065
white_0.95,white,ideal,6,435 487 504 522 568 699,0.938409,1.701796
white_0.42,white,ideal,7,446 484 500 512 528 568 699,0.951484,1.627707
white_0.55,white,ideal,7,447 488 505 518 539 568 699,0.950890,1.626626
white_0.68,white,ideal,7,444 485 501 513 529 568 699,0.953673,1.631019
white_0.80,white,ideal,7,442 484 499 510 526 568 699,0.952885,1.637613
white_0.88,white,ideal,7,440 487 504 517 538 568 699,0.955977,1.644997
white_0.95,white,ideal,7,435 485 501 514 531 568 699,0.959031,1.697843
white_0.42,white,ideal,8,380 447 486 502 515 532 568 699,0.966370,1.626685
white_0.55,white,ideal,8,380 447 486 502 514 530 568 699,0.966125,1.626705
white_0.68,white,ideal,8,443 484 499 510 520 539 568 699,0.965510,1.632285
white_0.80,white,ideal,8,380 447 485 500 512 528 568 699,0.965116,1.626729
white_0.88,white,ideal,8,440 486 501 512 522 540 568 699,0.966522,1.644674
white_0.95,white,ideal,8,435 483 498 509 520 538 568 699,0.970135,1.695820
white_0.42,white,ideal,9,380 447 481 494 506 516 533 568 699,0.975434,1.626675
white_0.55,white,ideal,9,380 447 486 501 512 522 540 568 699,0.976094,1.626619
