objective,mode,n,choice,wavelengths_nm,coverage_pct,power
gamut,ideal,3,max_area,380 518 700,73.61,214.96
gamut,ideal,4,max_area,380 501 525 700,86.82,160.69
gamut,ideal,5,max_area,380 492 512 536 700,92.61,78.64
gamut,ideal,6,max_area,380 486 504 518 543 700,95.60,65.00
gamut,ideal,7,max_area,380 483 498 510 522 546 700,96.96,58.34
gamut,ideal,8,max_area,380 478 493 504 514 525 548 700,97.76,50.34
gamut,ideal,9,max_area,380 475 490 501 510 519 532 553 700,98.31,42.06
gamut,ideal,10,max_area,380 473 487 497 505 513 521 535 555 700,98.71,37.76
gamut,ideal,11,max_area,380 471 485 494 502 509 516 524 538 557 700,98.97,33.36
gamut,ideal,12,max_area,380 471 485 494 501 507 513 519 527 540 559 700,99.15,30.35
white,ideal,3,white_0.68,447 522 613,66.28,2.16
white,ideal,4,white_0.42,447 513 568 699,79.88,1.63
white,ideal,5,white_0.55,447 499 520 568 699,89.57,1.63
white,ideal,6,white_0.42,447 492 510 526 568 699,93.24,1.63
white,ideal,7,white_0.68,444 485 501 513 529 568 699,95.37,1.63
white,ideal,8,white_0.42,380 447 486 502 515 532 568 699,96.64,1.63
white,ideal,9,white_0.88,380 447 484 498 509 520 538 568 699,97.70,1.63
white,ideal,10,white_0.55,380 447 482 494 504 513 522 540 568 699,98.29,1.63
white,ideal,11,white_0.68,380 447 476 488 498 506 513 522 539 568 699,98.68,1.63
white,ideal,12,white_0.42,380 447 474 486 496 504 511 518 527 544 568 699,98.98,1.63
envelope,ideal,3,envelope_0.80,460 518 620,69.03,2.44
envelope,ideal,4,envelope_0.80,474 504 520 620,75.71,2.65
envelope,ideal,5,envelope_0.42,460 492 520 536 620,83.10,2.14
envelope,ideal,6,envelope_0.42,460 504 520 544 600 640,87.78,2.41
envelope,ideal,7,envelope_0.42,460 486 511 522 546 613 640,89.97,2.30
envelope,ideal,8,envelope_0.55,460 486 504 514 525 544 600 620,88.76,2.06
envelope,ideal,9,envelope_0.42,460 486 504 519 532 560 600 620 640,91.68,2.19
envelope,ideal,10,envelope_0.42,460 486 511 521 535 555 600 613 620 640,90.51,2.12
envelope,ideal,11,envelope_0.55,440 486 502 511 524 538 560 600 620 640 660,95.99,2.51
envelope,ideal,12,envelope_0.55,440 471 486 504 518 527 544 568 600 620 640 660,96.05,2.54
gamut,real,3,max_area,380 520 700,67.16,546.41
gamut,real,4,max_area,380 503 532 700,80.31,510.00
gamut,real,5,max_area,380 494 514 540 700,85.19,417.17
gamut,real,6,max_area,380 487 505 520 540 700,87.94,341.75
gamut,real,7,max_area,380 480 495 505 520 540 700,89.12,298.23
gamut,real,8,max_area,380 480 495 505 520 540 580 700,89.84,10.82
gamut,real,9,max_area,380 480 495 505 516 527 540 580 700,90.34,10.82
gamut,real,10,max_area,380 473 488 497 505 516 527 540 580 700,90.68,9.34
gamut,real,11,max_area,380 473 488 497 505 513 520 529 540 580 700,90.94,9.34
gamut,real,12,max_area,380 466 480 491 498 505 513 520 529 540 580 700,91.15,8.58
white,real,3,white_0.55,450 527 630,61.82,4.40
white,real,4,white_0.68,450 503 529 630,75.82,4.41
white,real,5,white_0.80,448 501 525 566 700,81.52,4.38
white,real,6,white_0.68,449 487 505 526 566 700,84.75,4.37
white,real,7,white_0.68,449 489 505 518 536 566 700,86.75,4.37
white,real,8,white_0.68,380 449 488 503 516 533 566 700,88.49,4.37
white,real,9,white_0.88,380 449 480 496 503 516 535 566 700,89.23,4.37
white,real,10,white_0.68,380 450 487 502 514 527 540 580 627 700,89.67,4.39
white,real,11,white_0.68,380 450 480 494 505 515 527 540 580 627 700,90.52,4.39
white,real,12,white_0.68,380 450 477 489 498 505 516 527 540 580 627 700,90.81,4.39
envelope,real,3,envelope_0.95,440 520 640,65.31,7.55
envelope,real,4,envelope_0.80,440 504 532 640,77.85,6.78
envelope,real,5,envelope_0.80,447 500 527 640 680,79.26,6.79
envelope,real,6,envelope_0.80,440 487 504 527 540 640,83.87,6.45
envelope,real,7,envelope_0.55,447 480 504 520 527 540 640,84.39,6.18
envelope,real,8,envelope_0.80,440 480 504 520 527 540 640 700,87.27,6.32
envelope,real,9,envelope_0.42,447 480 504 520 527 540 620 640 700,86.84,5.91
envelope,real,10,envelope_0.42,380 447 480 504 520 527 540 620 640 700,88.47,5.91
envelope,real,11,envelope_0.42,380 447 480 496 504 520 527 540 620 640 700,89.63,5.91
envelope,real,12,envelope_0.55,380 447 474 496 504 520 529 540 580 620 640 700,89.98,6.02
